Player Name,Team,Season,Routes Run,Receptions,Receiving Yards,Target Share,Touchdowns,YAC,ADoT,Catch %,Total EPA,Targets/Route Run,Expected YPRR,YPRR,Adjusted YPRR
1. Nico Collins,,2024,132,32,567,20.8%,3,179,11.24,66.7%,19.2,0.3,1.27,3.41,3.44
2. Ja'Marr Chase,,2024,194,34,565,21.3%,5,241,9.08,75.7%,27.9,0.19,1.24,2.59,2.65
3. Chris Godwin,,2024,180,43,511,28.6%,5,276,5.67,71.4%,23.7,0.27,1.18,2.43,2.55
4. DK Metcalf,,2024,248,31,469,24.4%,2,179,12.4,49.1%,-3.5,0.23,1.2,1.77,1.87
5. CeeDee Lamb,,2024,207,32,467,24.4%,2,187,8.69,52.9%,6.2,0.25,1.24,1.96,2.02
6. Justin Jefferson,,2024,135,26,450,36.2%,4,115,13.73,48.9%,29.3,0.33,1.18,2.9,3.02
7. Jayden Reed,,2024,124,27,442,19.3%,3,161,5.21,79.3%,15.2,0.23,1.21,2.45,2.54
8. Drake London,,2024,179,38,428,26.5%,4,114,10,66.7%,26.2,0.3,1.32,2.31,2.29
9. Brian Thomas,,2024,159,25,424,21%,3,158,12.75,56.8%,3.9,0.23,1.19,2.37,2.48
10. Jauan Jennings,,2024,132,25,404,19.5%,3,68,11.42,62.5%,19.2,0.24,1.2,2.58,2.68
11. Zay Flowers,,2024,142,33,401,29.3%,1,183,8.08,69.2%,21.9,0.27,1.41,2.56,2.45
12. Garrett Wilson,,2024,221,41,399,30.6%,3,153,7.62,59.3%,0.5,0.27,1.26,1.53,1.57
13. Stefon Diggs,,2024,186,37,392,22.1%,3,121,9,70.5%,10.6,0.24,1.29,1.93,1.94
14. Malik Nabers,,2024,109,35,386,24.9%,3,134,10.91,65.2%,21.5,0.42,1.28,2.94,2.96
15. Darnell Mooney,,2024,192,27,368,23.3%,3,130,11.1,55.3%,24.4,0.24,1.24,1.84,1.9
16. Alec Pierce,,2024,157,13,368,12.3%,3,47,24,50%,11.2,0.13,1.24,1.55,1.61
